row,reason
909,missing base/program/year
910,missing base/program/year
911,missing base/program/year
912,missing base/program/year
913,missing base/program/year
914,missing base/program/year
915,missing base/program/year
916,missing base/program/year
917,missing base/program/year
918,missing base/program/year
919,missing base/program/year
920,missing base/program/year
921,missing base/program/year
922,missing base/program/year
923,missing base/program/year
924,missing base/program/year
925,missing base/program/year
926,missing base/program/year
927,missing base/program/year
928,missing base/program/year
929,missing base/program/year
930,missing base/program/year
931,missing base/program/year
932,missing base/program/year
933,missing base/program/year
934,missing base/program/year
935,missing base/program/year
936,missing base/program/year
937,missing base/program/year
938,missing base/program/year
939,missing base/program/year
940,missing base/program/year
941,missing base/program/year
942,missing base/program/year
943,missing base/program/year
944,missing base/program/year
945,missing base/program/year
946,missing base/program/year
947,missing base/program/year
948,missing base/program/year
949,missing base/program/year
950,missing base/program/year
951,missing base/program/year
952,missing base/program/year
953,missing base/program/year
954,missing base/program/year
955,missing base/program/year
956,missing base/program/year
957,missing base/program/year
958,missing base/program/year
959,missing base/program/year
960,missing base/program/year
961,missing base/program/year
962,missing base/program/year
963,missing base/program/year
964,missing base/program/year
965,missing base/program/year
966,missing base/program/year
967,missing base/program/year
968,missing base/program/year
969,missing base/program/year
970,missing base/program/year
971,missing base/program/year
972,missing base/program/year
973,missing base/program/year
974,missing base/program/year
975,missing base/program/year
976,missing base/program/year
977,missing base/program/year
978,missing base/program/year
979,missing base/program/year
980,missing base/program/year
981,missing base/program/year
982,missing base/program/year
983,missing base/program/year
984,missing base/program/year
985,missing base/program/year
986,missing base/program/year
987,missing base/program/year
988,missing base/program/year
989,missing base/program/year
990,missing base/program/year
991,missing base/program/year
992,missing base/program/year
993,missing base/program/year
994,missing base/program/year
995,missing base/program/year
996,missing base/program/year
997,missing base/program/year
998,missing base/program/year
999,missing base/program/year
1000,missing base/program/year
1001,missing base/program/year
